mode_time_elapsed,timestamp,frame_number,x_midpoint_pixels,x_midpoint_normalized,x_camera_mm,z_depth_mm,confidence,rolling_variance_pixels,rolling_std_dev_pixels,rolling_mean_pixels,detection_count,consistent_detections,large_jumps_count,stability_classification,head_angle_degrees,head_tracking_active
5.948075532913208,1755054317.3179731,120,897,0.467529296875,-43.936153411865234,1198.3875732421875,0.9892578125,6660.489743589744,81.61182355265531,797.65,40,40,0,very_unstable,3.0139960435409967,True
6.0983970165252686,1755054317.4642608,123,894,0.466064453125,-46.028350830078125,1198.3875732421875,0.9912109375,6720.4,81.97804584155443,800,41,41,0,very_unstable,3.925421651547536,True
6.251614809036255,1755054317.6174455,126,899,0.468505859375,-42.89005661010742,1198.3875732421875,0.990234375,6789.844947735191,82.40051545794596,802.3571428571429,42,42,0,very_unstable,3.045507797537708,True
6.40312123298645,1755054317.7705696,129,898,0.468017578125,-42.89005661010742,1198.3875732421875,0.9892578125,6840.915836101883,82.7098291383913,804.5813953488372,43,43,0,very_unstable,3.905756687552808,True
6.551605939865112,1755054317.917542,132,898,0.468017578125,-42.89005661010742,1198.3875732421875,0.9892578125,6880.166490486258,82.94676901776378,806.7045454545455,44,44,0,very_unstable,3.0325936435439735,True
6.700534820556641,1755054318.0678227,135,897,0.46728515625,-43.936153411865234,1198.3875732421875,0.9912109375,6904.982828282828,83.09622631794315,808.7111111111111,45,45,0,very_unstable,3.950548086675891,True
6.854449272155762,1755054318.2211308,138,893,0.465576171875,-47.0744514465332,1198.3875732421875,0.9892578125,6905.98695652174,83.10226805883062,810.5434782608696,46,46,0,very_unstable,4.115518098130961,True
7.0059592723846436,1755054318.371778,141,900,0.46923828125,-40.79785919189453,1198.3875732421875,0.990234375,6926.1221091581865,83.22332671287651,812.4468085106383,47,47,0,very_unstable,3.204677130129822,True
7.155587911605835,1755054318.5229187,144,898,0.4681396484375,-42.89005661010742,1198.3875732421875,0.9892578125,6931.244237588652,83.25409441936566,814.2291666666666,48,48,0,very_unstable,4.098949746121945,True
7.306530237197876,1755054318.6729987,147,895,0.46630859375,-44.98225021362305,1198.3875732421875,0.9892578125,6919.984693877551,83.1864453734955,815.8775510204082,49,49,0,very_unstable,3.2075082061160733,True
