mode_time_elapsed,timestamp,frame_number,x_midpoint_pixels,x_midpoint_normalized,x_camera_mm,z_depth_mm,raw_z_depth_mm,confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,x_jump_from_previous,is_large_jump,rolling_variance_pixels,rolling_std_dev_pixels,rolling_mean_pixels,short_term_variance,medium_term_variance,long_term_variance,detection_count,consistent_detections,large_jumps_count,stability_classification,head_angle_deg,head_tracking_active,person_is_settled,detection_method,filtered_x_position,deadband_blocked,movement_scaled
1.859178066253662,1754810927.0256152,19,594,0.30975341796875,-254.20205688476562,1198.3875732421877,1198.3875732421877,0.98291015625,0.1693115234375,0.369384765625,0.4501953125,1.001953125,0.2808837890625,0.632568359375,2,False,0.0,0.0,594,0.0,0.0,0.0,15,15,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,597.8748610586215,False,False
1.909297227859497,1754810927.0756876,20,599,0.31219482421875,-252.10984802246094,1198.3875732421875,1198.3875732421875,0.97802734375,0.1741943359375,0.374267578125,0.4501953125,1.00390625,0.2760009765625,0.629638671875,5,False,0.0,0.0,599,0.0,0.0,0.0,16,16,0,stable,1.3249429899258218,True,False,COMPREHENSIVE_FIX,598.0998888468972,False,False
2.009603977203369,1754810927.176,22,593,0.30914306640625,-256.29425048828125,1198.3875732421873,1198.3875732421873,0.97998046875,0.1690673828125,0.364013671875,0.44921875,1.0029296875,0.2801513671875,0.638916015625,6,False,0.0,0.0,593,0.0,0.0,0.0,17,17,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,597.0799110775177,False,False
2.0595765113830566,1754810927.225975,23,600,0.3125,-252.10984802246094,1198.3875732421873,1198.3875732421873,0.97705078125,0.175537109375,0.351806640625,0.449462890625,1.0029296875,0.27392578125,0.651123046875,7,False,0.0,0.0,600,0.0,0.0,0.0,18,18,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,597.6639288620142,False,False
2.1598803997039795,1754810927.3262932,25,596,0.31072998046875,-253.1559295654297,1198.3875732421875,1198.3875732421875,0.97705078125,0.1761474609375,0.353515625,0.4453125,0.998046875,0.2691650390625,0.64453125,4,False,0.0,0.0,596,0.0,0.0,0.0,19,19,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,597.3311430896115,False,False
2.2100796699523926,1754810927.3765018,26,588,0.306640625,-258.3864440917969,1198.3875732421875,1198.3875732421875,0.95703125,0.175537109375,0.366943359375,0.437744140625,0.998046875,0.26220703125,0.631103515625,8,False,0.0,0.0,588,0.0,0.0,0.0,20,20,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,595.4649144716892,False,False
2.310250997543335,1754810927.4766598,28,591,0.307861328125,-257.34033203125,1198.3875732421875,1198.3875732421875,0.96142578125,0.1767578125,0.35693359375,0.43896484375,0.99853515625,0.26220703125,0.6416015625,3,False,0.0,0.0,591,0.0,0.0,0.0,21,21,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,594.5719315773514,False,False
2.4104833602905273,1754810927.5769072,30,593,0.309326171875,-255.24815368652344,1198.3875732421875,1198.3875732421875,0.9697265625,0.177734375,0.361328125,0.44091796875,1.0029296875,0.26318359375,0.6416015625,2,False,0.0,0.0,593,0.0,0.0,0.0,22,22,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,594.2575452618811,False,False
2.460737943649292,1754810927.62721,31,585,0.30499267578125,-254.45652770996094,1187.6358112219593,1187.6358112219593,0.95947265625,0.1685791015625,0.3642578125,0.44140625,1.0,0.2728271484375,0.6357421875,8,False,0.0,0.0,585,0.0,0.0,0.0,23,23,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,592.4060362095049,False,False
2.560885429382324,1754810927.7272887,33,593,0.30908203125,-256.29425048828125,1189.7815112290657,1189.7815112290657,0.96337890625,0.173828125,0.35986328125,0.4443359375,0.99853515625,0.2705078125,0.638671875,8,False,0.0,0.0,593,0.0,0.0,0.0,24,24,0,stable,1.3249429899258218,True,True,COMPREHENSIVE_FIX,592.524828967604,False,False
